Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster
Arménie,1,2017,2944790.9999999995,0.6579999999999999,1123470.0,35540.05,45.773999999999994,5
Afghanistan,2,2017,36296113.0,5.47,730000.0,19742.85,19.505,1
Albanie,3,2017,2884169.0000000005,-0.21899999999999997,1241000.0,43635.75,55.49100000000001,3
Algérie,4,2017,41389189.0,4.181,1222385.0,33912.15,27.671999999999997,4
Angola,7,2017,29816766.0,6.93,828550.0,19750.15,30.456,1
Antigua-et-Barbuda,8,2017,95426.0,1.9880000000000002,886950.0,29729.25,66.372,5
Argentine,9,2017,43937140.0,2.001,1182235.0,37489.15,63.957,3
Australie,10,2017,24584620.0,2.725,1208515.0,39456.5,65.957,3
Autriche,11,2017,8819901.0,1.6269999999999998,1347580.0,39467.45,60.001999999999995,3
Bahamas,12,2017,381755.0,2.017,745695.0,22436.55,68.342,5
Barbade,14,2017,286232.0,0.318,1057040.0,32576.25,56.437,5
Bangladesh,16,2017,159685424.0,2.195,947540.0,22002.2,19.840999999999998,2
Bolivie (État plurinational de),19,2017,11192855.0,2.9730000000000003,859210.0,24987.9,45.37,2
Botswana,20,2017,2205080.0,3.978,854100.0,23790.7,40.58,2
Brésil,21,2017,207833823.0,1.6440000000000001,1185520.0,33163.9,58.111000000000004,3
Belize,23,2017,375769.0,4.11,984770.0,24520.7,37.883,2
Îles Salomon,25,2017,636039.0,5.457999999999999,880015.0,19585.9,29.555999999999997,2
Bulgarie,27,2017,7102444.0,-1.351,1032220.0,30419.1,49.976000000000006,5
Myanmar,28,2017,53382523.0,1.3319999999999999,985865.0,34072.75,47.852,5
Cameroun,32,2017,24566073.0,5.441,968345.0,25349.25,16.213,1
Canada,33,2017,36732095.0,1.9580000000000002,1274580.0,36938.0,50.36600000000001,3
Cabo Verde,35,2017,537498.0,2.431,917975.0,25309.1,37.064,2
République centrafricaine,37,2017,4596023.0,2.289,641670.0,16950.6,43.711999999999996,2
Sri Lanka,38,2017,21128032.000000004,1.052,953745.0,23498.7,29.093000000000004,2
Tchad,39,2017,15016753.0,6.419,762850.0,25736.15,30.875,1
Chili,40,2017,18470439.0,2.7889999999999997,1099015.0,32342.65,51.371,4
"Chine, continentale",41,2017,1421021791.0,1.0070000000000001,1166905.0,37018.3,39.519,5
Colombie,44,2017,48909839.00000001,2.923,1129310.0,26411.4,51.382,4
Congo,46,2017,5110695.0,5.242999999999999,842785.0,20403.5,47.71,2
Costa Rica,48,2017,4949954.000000001,2.1069999999999998,1100475.0,29623.4,56.161,4
Cuba,49,2017,11339253.999999998,0.128,1244650.0,32280.6,36.839,5
Chypre,50,2017,1179678.0,1.61,954840.0,29302.2,56.863,5
Azerbaïdjan,52,2017,9845320.0,2.313,1132595.0,33707.75,32.604,4
Bénin,53,2017,11175198.0,5.666,1005940.0,23520.6,22.331,1
Danemark,54,2017,5732274.0,0.7659999999999999,1235160.0,41263.25,64.777,3
Dominique,55,2017,71458.0,0.386,1074560.0,28813.1,54.51,5
République dominicaine,56,2017,10513104.0,2.251,1045360.0,24411.2,51.391000000000005,5
Bélarus,57,2017,9450231.0,0.114,1200485.0,34346.5,54.187,3
Équateur,58,2017,16785361.0,3.537,943890.0,24009.7,45.515,2
Égypte,59,2017,96442591.0,4.327,1212165.0,35160.45,24.997,4
El Salvador,60,2017,6388126.0,0.996,970900.0,27305.65,34.688,2
Estonie,63,2017,1319390.0,0.309,1184425.0,39237.5,57.2,3
