Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","21515.502135","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","2","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","6.327787","Fc","Donnée calculée",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","349006.695043","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","202","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","17.771985","Fc","Donnée calculée",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","13025.068581","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","3","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","9.810953","Fc","Donnée calculée",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","167389.890425","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","4","Algérie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","4.596316","Fc","Donnée calculée",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","3665804.120835","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","79","Allemagne","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","5.740586","Fc","Donnée calculée",""
"MK","Indicateurs macro","6","Andorre","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","3020.852315","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","6","Andorre","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","4.992763","Fc","Donnée calculée",""
"MK","Indicateurs macro","7","Angola","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","122123.858628","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","7","Angola","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","20.766647","Fc","Donnée calculée",""
