Code Domaine,Domaine,Code zone,Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7001","Janvier","","144.719763","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7002","Février","","144.96173","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7003","Mars","","152.947136","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7004","Avril","","152.821914","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7005","Mai","","153.899609","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7006","Juin","","154.976486","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7007","Juillet","","151.642835","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7008","Août","","149.937002","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7009","Septembre","","149.757983","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7010","Octobre","","150.254619","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7011","Novembre","","150.830186","X","Sources internationales sûres","base year is rescaled to 2010"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2010 = 100)","7012","Décembre","","151.804323","X","Sources internationales sûres","base year is rescaled to 2010"
