Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster,Clusterkm,Croissance annuelle PIB US$ (%),PIB Total US$ (Millions),Nombre de têtes réserves volailles,Moyenne prix conso alim ($/mois),Imports viandes / hbts (kg/personne/an),Imports viande volaille / hbts (kg/personne/an),Import volailles / imports viandes (%),Conso volailles 2017 (kg/hbt/an),Evo conso volailles 2015-2017 (%),Elevage volailles / hbts (kg/personne/an),Cluster6,H1,H2,Clusterkm5,F1,F2,F3,F4
Cabo Verde,35,2017,537498.0,2.431,917975.0,25309.1,37.064,2,3,6.420607,1769.786532,1000000.0,109.42414483333332,31.62802466241735,22.32566446758872,70.58823529411767,17.62,1.3230000000000002,1.8381463744981377,6,False,True,3,1.827209495780542,-1.118012431370419,-0.1973010794047178,-0.2666021718628185
Sri Lanka,38,2017,21128032.000000004,1.052,953745.0,23498.7,29.093000000000004,2,3,6.818652,88019.695921,21287000.0,127.04166666666669,0.09466096984328684,5.003144182410275,53.861552692864954,7.78,14.58,9.087453104955538,3,True,False,2,0.4989356307975956,1.347132308763906,-0.534965086615383,0.029894425299147608
Congo,46,2017,5110695.0,5.242999999999999,842785.0,20403.5,47.71,2,0,9.660458,10978.971299,2935000.0,117.73763775,27.7848707465423,20.349482800284505,73.23943661971832,21.53,-11.654000000000002,1.3608716622690258,6,False,True,3,1.5395622296503704,-2.331891945976476,-0.7514170885176201,-0.8169227198064952
Bénin,53,2017,11175198.0,5.666,1005940.0,23520.6,22.331,1,0,8.045987,9269.331673,20643000.0,119.3657595,11.27496801398955,11.006516394608846,97.61904761904762,14.4,-20.923000000000002,1.2625279659474489,6,False,True,2,0.5137915534581462,-1.7208976167259362,0.4947562550356036,1.2123133628863376
Djibouti,72,2017,944099.0,3.2939999999999996,978200.0,24341.85,19.238,2,3,5.6626059999999985,2766.868072,7016340.673423777,114.48598225,3.1776328541816063,3.1776328541816063,100.0,2.68,24.651,1.7898866354123202,3,True,False,2,-0.7817489808692888,0.37042164275832185,0.8273089437016691,0.8810652341243095
Gabon,74,2017,2064823.0,6.013999999999999,964695.0,29083.2,48.67,2,0,6.4579010000000014,14929.474265,3178000.0,115.03975249999999,49.398907315542296,36.80702898020799,74.50980392156862,29.33,-9.754,1.8887817503001467,6,False,True,3,3.943950098605338,-3.2848807137803036,0.9910299796906163,-0.5738809440390282
Ghana,81,2017,29121465.0,4.5680000000000005,1107045.0,22980.4,24.381,2,0,7.244399,58994.85522100001,77443000.0,153.74444775,5.803279471001887,5.185178698942515,89.3491124260355,7.24,14.376,1.9993499640213843,3,True,False,2,-0.003519206935314989,0.19218016133540233,1.256352378603149,0.43760887197659765
Guinée,90,2017,12067518.999999998,5.558,1020175.0,22571.6,18.451,1,0,15.238898,9914.962503,28434000.0,257.0822425833333,3.148948843585828,3.0660817687546222,97.36842105263158,4.08,58.14,1.242260318794609,2,True,False,2,-1.8319324387861935,0.9754651307983845,2.5736455299397556,-2.2829473153991175
Iraq,103,2017,37552781.0,5.568,914690.0,22100.75,22.378,1,0,14.430402,190643.898226,50073000.0,97.025,14.512906514167351,12.515717544327808,86.23853211009174,14.95,20.857,2.5564018813946157,6,False,True,2,-0.018083355199478207,-0.6547778751600238,0.9950943615272771,-0.2774291211404116
Côte d'Ivoire,107,2017,24437470.0,5.215,996450.0,21600.7,23.166999999999998,1,0,8.003409,38147.836938,59845000.0,115.77128208333336,2.005117551039449,0.286445364434207,14.285714285714285,2.53,42.938,1.830140354136496,3,True,False,2,-0.6429786900580121,2.338721626604984,1.0492190207752194,0.19203848891796843
Cambodge,115,2017,16009409.0,3.1439999999999997,902280.0,23871.000000000004,29.296999999999997,2,3,10.793179,22177.200589,22303000.0,136.9403305,0.8120224800303372,0.6246326769464132,76.92307692307693,2.34,40.964,1.0962303480409552,3,True,False,2,-0.9188143013118903,1.2101835210396865,0.9004451956557253,-0.5110164636863619
Malawi,130,2017,17670196.0,5.523,966155.0,24827.3,16.848,1,0,19.543959,6347.717479,18345000.0,290.5083984166667,7.0277516178480255,5.003144182410275,53.861552692864954,5.17,25.485,7.363472368953914,2,True,False,2,-1.142688286681106,1.1382558077228138,2.0220375734495195,-2.4115613497996815
Maldives,132,2017,496402.0,9.12,821980.0,29827.8,60.083,2,0,8.149222,4735.999662,14841121.399360167,162.9394915,34.24643736326606,24.17395578583487,70.58823529411767,13.5,1.8869999999999998,7.8480532600304285,6,False,True,3,2.4663120887306604,-2.854436406350618,1.504626472558714,-0.9835420290680483
