Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster,Clusterkm,Croissance annuelle PIB US$ (%),PIB Total US$ (Millions),Nombre de têtes réserves volailles,Moyenne prix conso alim ($/mois),Imports viandes / hbts (kg/personne/an),Imports viande volaille / hbts (kg/personne/an),Import volailles / imports viandes (%),Conso volailles 2017 (kg/hbt/an),Evo conso volailles 2015-2017 (%),Elevage volailles / hbts (kg/personne/an),Cluster6,H1,H2,Clusterkm5,F1,F2,F3,F4
Afghanistan,2,2017,36296113.0,5.47,730000.0,19742.85,19.505,1,0,6.327787,21515.502135,13573000.0,150.71279883333338,0.9918417434946822,0.7989836267040495,80.55555555555556,1.53,-19.895,0.7581528082635185,1,False,False,1,-2.051085084858554,-1.0956645316017541,-1.198073328244427,0.8725037531983344
Angola,7,2017,29816766.0,6.93,828550.0,19750.15,30.456,1,0,20.766647,122123.858628,36500000.0,286.88792075,14.086034682634597,9.290075254975674,65.95238095238095,10.56,-19.939,0.9012043760882721,2,True,False,1,-1.122325764539929,-1.387979946505635,0.35722223350000415,-2.452893121856852
Bangladesh,16,2017,159685424.0,2.195,947540.0,22002.2,19.840999999999998,2,3,11.491529,245633.488923,329199000.0,155.87219108333332,0.006262312332276489,5.003144182410275,53.861552692864954,1.5,3.448,1.2175688621398533,3,True,False,2,-0.771304007916804,1.4473096725153276,0.056104178865956214,0.044144275262115514
Bolivie (État plurinational de),19,2017,11192855.0,2.9730000000000003,859210.0,24987.9,45.37,2,3,10.511101,37508.683068,223496000.0,159.09460158333334,0.17868542029714493,0.08934271014857248,50.0,36.0,2.244,45.037034786924345,5,False,False,0,3.7379587211950556,1.210391060330438,-2.0772931256466887,-1.474532824347611
Botswana,20,2017,2205080.0,3.978,854100.0,23790.7,40.58,2,3,11.242991,17405.50354,710000.0,134.86589366666666,4.081484571988319,1.360494857329439,33.33333333333333,3.39,11.513,2.086092114571807,3,True,False,2,-0.025700857635167357,0.9322340306973851,0.07263638492782915,-0.2719132527333947
Belize,23,2017,375769.0,4.11,984770.0,24520.7,37.883,2,3,3.4642150000000003,1836.593466,1684000.0,103.65267383333334,13.306047066149686,5.003144182410275,53.861552692864954,25.69,-0.465,52.28212013231534,5,False,False,0,3.839297188414896,0.7007752008162205,-1.7419184254508149,0.3463382792965211
Îles Salomon,25,2017,636039.0,5.4579999999999975,880015.0,19585.9,29.555999999999997,2,0,6.223974,1198.9386439999996,245000.0,112.34351316666668,11.005614435592788,9.433383801936674,85.71428571428571,4.45,-7.484,0.462235806294897,6,False,True,1,-0.6523557022720646,-1.3737722825263734,-0.3664817096365335,0.7595953263619316
Cameroun,32,2017,24566073.0,5.441,968345.0,25349.25,16.213,1,0,7.246825999999999,35009.259798,51100000.0,110.96386933333334,0.040706546789142886,5.003144182410275,53.861552692864954,3.16,-2.469,3.1128703395125465,3,True,False,2,-0.2718192736064362,0.27432758843290983,0.8255342014532026,1.5763838213512944
Cabo Verde,35,2017,537498.0,2.431,917975.0,25309.1,37.064,2,3,6.420607,1769.786532,1000000.0,109.42414483333332,31.62802466241735,22.32566446758872,70.58823529411767,17.62,1.3230000000000002,1.8381463744981377,6,False,True,3,1.827209495780542,-1.118012431370419,-0.1973010794047178,-0.2666021718628185
République centrafricaine,37,2017,4596023.0,2.289,641670.0,16950.6,43.711999999999996,2,3,10.279298,1997.35427,7438000.0,149.30127394021127,1.087897079714353,0.8703176637714825,80.0,2.29,27.933000000000003,1.4458152189403752,2,True,False,1,-1.8241241755343531,0.1734727344740524,-1.7150159097482065,-1.7012517586743001
Sri Lanka,38,2017,21128032.000000004,1.052,953745.0,23498.7,29.093000000000004,2,3,6.818652,88019.695921,21287000.0,127.04166666666669,0.09466096984328684,5.003144182410275,53.861552692864954,7.78,14.58,9.087453104955538,3,True,False,2,0.4989356307975956,1.347132308763906,-0.534965086615383,0.029894425299147608
Tchad,39,2017,15016753.0,6.419,762850.0,25736.15,30.875,1,0,0.015031999999999997,10394.020227,6176000.0,92.35,0.0665922919555246,0.0665922919555246,100.0,0.45,-6.25,0.4250585995521136,1,False,False,1,-0.899718939561004,-1.4751863077255225,-0.17430846503621453,2.1078575361197234
Congo,46,2017,5110695.0,5.242999999999999,842785.0,20403.5,47.71,2,0,9.660458,10978.971299,2935000.0,117.73763775,27.7848707465423,20.349482800284505,73.23943661971832,21.53,-11.654000000000002,1.3608716622690258,6,False,True,3,1.5395622296503704,-2.331891945976476,-0.7514170885176201,-0.8169227198064952
Bénin,53,2017,11175198.0,5.666,1005940.0,23520.6,22.331,1,0,8.045987,9269.331673,20643000.0,119.3657595,11.27496801398955,11.006516394608846,97.61904761904762,14.4,-20.923000000000002,1.2625279659474489,6,False,True,2,0.5137915534581462,-1.7208976167259362,0.4947562550356036,1.2123133628863376
Équateur,58,2017,16785361.0,3.537,943890.0,24009.7,45.515,2,3,4.360883,104295.862,161299000.0,129.01369300000002,0.059575721963918436,5.003144182410275,53.861552692864954,19.31,-3.5460000000000003,20.136594023804435,5,False,False,0,2.3774193947279096,0.3350896260581298,-1.105418090000069,0.0626636815547909
El Salvador,60,2017,6388126.0,0.996,970900.0,27305.65,34.688,2,3,3.203851,24927.973702,17235000.0,114.43719816666668,9.079345022311706,2.504646902706678,27.58620689655172,20.43,2.9739999999999998,21.326755295684524,5,False,False,0,2.639282285812854,1.7402732155716107,-1.2133606617713646,0.4836083180374565
Djibouti,72,2017,944099.0,3.2939999999999996,978200.0,24341.85,19.238,2,3,5.6626059999999985,2766.868072,7016340.673423777,114.48598225,3.1776328541816063,3.1776328541816063,100.0,2.68,24.651,1.7898866354123202,3,True,False,2,-0.7817489808692888,0.37042164275832185,0.8273089437016691,0.8810652341243095
Gabon,74,2017,2064823.0,6.013999999999999,964695.0,29083.2,48.67,2,0,6.4579010000000014,14929.474265,3178000.0,115.03975249999999,49.398907315542296,36.80702898020799,74.50980392156862,29.33,-9.754,1.8887817503001467,6,False,True,3,3.943950098605338,-3.2848807137803036,0.9910299796906163,-0.5738809440390282
Gambie,75,2017,2213889.0,6.138,927100.0,23287.0,26.003,1,0,2.569375,1504.954083,1360000.0,218.8361455,8.130488926951621,7.227101268401443,88.8888888888889,3.53,4.438,0.7001254353763897,1,False,False,1,-0.9202159406276438,-1.0024473534154126,0.5572110864285958,-0.06300401605758044
Ghana,81,2017,29121465.0,4.5680000000000005,1107045.0,22980.4,24.381,2,0,7.244399,58994.85522100001,77443000.0,153.74444775,5.803279471001887,5.185178698942515,89.3491124260355,7.24,14.376,1.9993499640213843,3,True,False,2,-0.003519206935314989,0.19218016133540233,1.256352378603149,0.43760887197659765
Guatemala,89,2017,16914970.0,4.077,930385.0,25506.2,30.81,2,3,10.131134,75619.686541,36349000.0,175.98833333333337,10.641461380067481,7.626380655715026,71.66666666666667,20.58,2.033,13.24306221057442,6,False,True,0,1.310543542058522,-0.17536364338152788,0.014196922895582553,-0.7103167945096588
Guinée,90,2017,12067518.999999998,5.558,1020175.0,22571.6,18.451,1,0,15.238898,9914.962503,28434000.0,257.0822425833333,3.148948843585828,3.0660817687546222,97.36842105263158,4.08,58.14,1.242260318794609,2,True,False,2,-1.8319324387861935,0.9754651307983845,2.5736455299397556,-2.2829473153991175
Haïti,93,2017,10982366.000000002,2.682,789860.0,18228.1,19.984,2,3,12.152855,8521.132072,6214000.0,164.51023416666666,8.92339592397485,8.103900379936341,90.81632653061224,8.91,15.265,0.7602186996863879,2,True,False,1,-1.644043134150646,-0.2860583498623456,-0.778654941337982,-1.1978148477698523
Honduras,95,2017,9429013.0,3.469,931480.0,23418.4,34.757,2,3,6.3689,23100.781745,46283000.0,129.86918516666668,4.878559399589332,1.2726676694580863,26.08695652173913,21.73,1.117,20.42557370532844,5,False,False,0,1.9298689237315485,1.1977390697201202,-1.2126100356428116,-0.005360497679877035
Inde,100,2017,1338676785.0,2.177,918705.0,23845.45,22.516,2,3,14.82167,2625091.0651700003,803502000.0,135.74052558333332,0.0007470063059321673,5.003144182410275,53.861552692864954,2.22,5.7139999999999995,2.61413736251503,3,True,False,2,-0.3085105939455073,2.1988432541408014,0.41304697338392354,0.04963521570662094
Indonésie,101,2017,264650963.0,2.426,1055580.0,25049.95,32.333,2,3,8.965353,1015423.457385,2225321000.0,161.25986983333334,0.7821622776411361,0.0037785617277349562,0.4830917874396135,7.19,8.61,8.53289545747846,4,False,False,4,1.6794587946693982,5.73204256015376,0.41838473356507894,0.33661398499836637
Iraq,103,2017,37552781.0,5.568,914690.0,22100.75,22.378,1,0,14.430402,190643.898226,50073000.0,97.025,14.512906514167351,12.515717544327808,86.23853211009174,14.95,20.857,2.5564018813946157,6,False,True,2,-0.018083355199478207,-0.6547778751600238,0.9950943615272771,-0.2774291211404116
Côte d'Ivoire,107,2017,24437470.0,5.215,996450.0,21600.7,23.166999999999998,1,0,8.003409,38147.836938,59845000.0,115.77128208333336,2.005117551039449,0.286445364434207,14.285714285714285,2.53,42.938,1.830140354136496,3,True,False,2,-0.6429786900580121,2.338721626604984,1.0492190207752194,0.19203848891796843
Jordanie,112,2017,9785843.0,5.604,990610.0,25221.5,34.92,2,0,3.858685,40709.15493,29455000.0,110.79800225000002,13.080119924262018,6.540059962131009,50.0,28.07,-0.107,19.66963908985664,5,False,False,0,2.718151289116765,-0.1417165208707166,-0.3995434794344632,0.5279988886799318
Kenya,114,2017,50221142.0,4.893,775260.0,22221.2,25.279,1,0,13.829703,78757.378912,48125000.0,214.8814483333334,0.01991193270754377,5.003144182410275,53.861552692864954,0.67,9.836,0.6048846917897646,2,True,False,1,-1.679632457364702,0.2506603035802183,0.2375950225147843,-1.282460127153148
Cambodge,115,2017,16009409.0,3.1439999999999997,902280.0,23871.000000000004,29.296999999999997,2,3,10.793179,22177.200589,22303000.0,136.9403305,0.8120224800303372,0.6246326769464132,76.92307692307693,2.34,40.964,1.0962303480409552,3,True,False,2,-0.9188143013118903,1.2101835210396865,0.9004451956557253,-0.5110164636863619
République populaire démocratique de Corée,116,2017,25429825.0,0.977,741680.0,19071.25,20.172,2,3,3.446525,17364.724931,22325000.0,149.30127394021127,0.0393239041165246,5.003144182410275,53.861552692864954,1.62,-7.428999999999999,1.2238385439144783,2,True,False,1,-1.5756810318332226,0.4043328706927445,-2.278790393654826,0.2130698733905901
Liban,121,2017,6819373.000000001,4.388999999999999,1051200.0,24703.2,29.994,2,3,4.205288,53393.799595,72392000.0,121.37352208333333,6.7454881849108395,1.906333617474803,28.26086956521739,10.74,-16.744,18.36869753274971,5,False,False,0,1.7250462932985853,0.9754289915381916,-0.42339300288900883,1.4728760850280875
Lesotho,122,2017,2091534.0,1.579,832930.0,23389.2,19.07,2,3,11.894117,2578.713331,433000.0,165.55273058333333,14.821657214274307,7.171769619810148,48.387096774193544,7.93,-13.991,0.9179865113356992,2,True,False,1,-0.5436347319737235,0.4004934084259293,-0.834843374986191,-0.19170245093590932
Libéria,123,2017,4702226.0,5.143,778180.0,14559.85,24.517,1,0,0.232746,2145.368675,9038000.0,186.64512866666664,12.972579369855893,10.207931307427588,78.68852459016394,10.67,-1.204,2.9460515083707164,1,False,False,1,-1.4746090292628025,-1.4206338216760743,-2.0207399198123923,-0.5630396716095682
Madagascar,129,2017,25570512.000000004,5.515,694595.0,15673.1,21.425,1,0,11.205528,13176.313594,48561000.0,161.81651408333337,7.0277516178480255,5.003144182410275,53.861552692864954,2.87,3.237,1.8219815074488923,2,True,False,1,-2.346904135204347,-0.3200156613597471,-1.269639042135564,-0.7456124585722957
Malawi,130,2017,17670196.0,5.523,966155.0,24827.3,16.848,1,0,19.543959,6347.717479,18345000.0,290.5083984166667,7.0277516178480255,5.003144182410275,53.861552692864954,5.17,25.485,7.363472368953914,2,True,False,2,-1.142688286681106,1.1382558077228138,2.0220375734495195,-2.4115613497996815
