Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster,Clusterkm
Afghanistan,2,2017,36296113.0,5.47,730000.0,19742.85,19.505,1,0
Angola,7,2017,29816766.0,6.93,828550.0,19750.15,30.456,1,0
Bangladesh,16,2017,159685424.0,2.195,947540.0,22002.2,19.840999999999998,2,3
Bolivie (État plurinational de),19,2017,11192855.0,2.9730000000000003,859210.0,24987.9,45.37,2,3
Botswana,20,2017,2205080.0,3.978,854100.0,23790.7,40.58,2,3
Belize,23,2017,375769.0,4.11,984770.0,24520.7,37.883,2,3
Îles Salomon,25,2017,636039.0,5.457999999999999,880015.0,19585.9,29.555999999999997,2,0
Cameroun,32,2017,24566073.0,5.441,968345.0,25349.25,16.213,1,0
Cabo Verde,35,2017,537498.0,2.431,917975.0,25309.1,37.064,2,3
République centrafricaine,37,2017,4596023.0,2.289,641670.0,16950.6,43.711999999999996,2,3
Sri Lanka,38,2017,21128032.000000004,1.052,953745.0,23498.7,29.093000000000004,2,3
Tchad,39,2017,15016753.0,6.419,762850.0,25736.15,30.875,1,0
Congo,46,2017,5110695.0,5.242999999999999,842785.0,20403.5,47.71,2,0
Bénin,53,2017,11175198.0,5.666,1005940.0,23520.6,22.331,1,0
Équateur,58,2017,16785361.0,3.537,943890.0,24009.7,45.515,2,3
El Salvador,60,2017,6388126.0,0.996,970900.0,27305.65,34.688,2,3
Djibouti,72,2017,944099.0,3.2939999999999996,978200.0,24341.85,19.238,2,3
Gabon,74,2017,2064823.0,6.013999999999999,964695.0,29083.2,48.67,2,0
Gambie,75,2017,2213889.0,6.138,927100.0,23287.0,26.003,1,0
Ghana,81,2017,29121465.0,4.5680000000000005,1107045.0,22980.4,24.381,2,0
Guatemala,89,2017,16914970.0,4.077,930385.0,25506.2,30.81,2,3
Guinée,90,2017,12067518.999999998,5.558,1020175.0,22571.6,18.451,1,0
Haïti,93,2017,10982366.000000002,2.682,789860.0,18228.1,19.984,2,3
Honduras,95,2017,9429013.0,3.469,931480.0,23418.4,34.757,2,3
Inde,100,2017,1338676785.0,2.177,918705.0,23845.45,22.516,2,3
Indonésie,101,2017,264650963.0,2.426,1055580.0,25049.95,32.333,2,3
Iraq,103,2017,37552781.0,5.568,914690.0,22100.75,22.378,1,0
Côte d'Ivoire,107,2017,24437470.0,5.215,996450.0,21600.7,23.166999999999998,1,0
Jordanie,112,2017,9785843.0,5.604,990610.0,25221.5,34.92,2,0
Kenya,114,2017,50221142.0,4.893,775260.0,22221.2,25.279,1,0
Cambodge,115,2017,16009409.0,3.1439999999999997,902280.0,23871.000000000004,29.296999999999997,2,3
République populaire démocratique de Corée,116,2017,25429825.0,0.977,741680.0,19071.25,20.172,2,3
Liban,121,2017,6819373.000000001,4.388999999999999,1051200.0,24703.2,29.994,2,3
Lesotho,122,2017,2091534.0,1.579,832930.0,23389.2,19.07,2,3
Libéria,123,2017,4702226.0,5.143,778180.0,14559.85,24.517,1,0
Madagascar,129,2017,25570512.000000004,5.515,694595.0,15673.1,21.425,1,0
Malawi,130,2017,17670196.0,5.523,966155.0,24827.3,16.848,1,0
Maldives,132,2017,496402.0,9.12,821980.0,29827.8,60.083,2,0
Mali,133,2017,18512430.0,6.157,1067990.0,30992.15,27.311,2,0
Mauritanie,136,2017,4282570.0,5.8389999999999995,1037330.0,29134.3,36.883,2,0
Mozambique,144,2017,28649018.0,5.943,840960.0,18691.65,17.555,1,0
Namibie,147,2017,2402633.0,3.79,887315.0,22692.05,36.625,2,3
Népal,149,2017,27632681.0,2.286,1046090.0,26900.5,17.178,2,3
Vanuatu,155,2017,285510.0,5.303999999999999,957395.0,23261.45,39.746,2,0
Nicaragua,157,2017,6384846.0,2.597,959585.0,24144.750000000004,33.333,2,3
Niger,158,2017,21602382.0,8.003,941335.0,29889.85,15.24,1,0
Nigéria,159,2017,190873244.0,5.375,899360.0,20410.8,12.75,1,0
Pakistan,165,2017,207906209.0,4.252,848990.0,24181.25,42.053000000000004,2,3
Pérou,170,2017,31444298.0,3.195,1010685.0,28623.3,37.643,4,3
Philippines,171,2017,105172925.0,2.9960000000000004,976010.0,22878.2,41.018,2,3
Guinée-Bissau,175,2017,1828145.0,5.235,822345.0,16114.75,21.133000000000003,1,0
Timor-Leste,176,2017,1243258.0,3.925,781100.0,21071.45,27.125999999999998,1,3
Zimbabwe,181,2017,14236595.0,3.054,793145.0,18691.65,22.691,2,3
Rwanda,184,2017,11980961.000000002,5.382000000000001,808475.0,21622.6,14.77,1,0
Sao Tomé-et-Principe,193,2017,207089.00000000003,3.839,882570.0,18998.25,30.413,2,3
Sénégal,195,2017,15419355.0,5.768,953380.0,22126.3,21.462,1,0
Sierra Leone,197,2017,7488423.000000001,4.413,893885.0,20323.2,23.851,2,0
Suriname,207,2017,570496.0,2.03,982945.0,21994.9,40.989,2,3
Tadjikistan,208,2017,8880268.0,5.042,767960.0,20217.35,24.281999999999996,1,0
Eswatini,209,2017,1124805.0,1.88,877825.0,22381.8,29.534000000000002,2,3
République-Unie de Tanzanie,215,2017,54660339.00000001,6.172000000000001,874540.0,21819.7,15.624,1,0
Togo,217,2017,7698474.0,5.125,886585.0,20921.8,16.05,1,0
Oman,221,2017,4665928.0,9.34,1069815.0,31076.1,49.565,2,0
Ouganda,226,2017,41166587.99999999,7.694,782560.0,19107.75,20.783,1,0
Burkina Faso,233,2017,19193234.0,5.978,992800.0,27787.45,14.37,1,0
Éthiopie,238,2017,106399924.0,5.518,840960.0,23962.250000000004,8.911,1,0
Yémen,249,2017,27834819.0,5.045,752995.0,19428.95,20.026,1,0
Zambie,251,2017,16853599.0,6.135,734745.0,21567.85,19.783,1,0
Soudan,276,2017,40813397.00000001,4.9110000000000005,888045.0,24776.2,31.128,2,0
