Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster,Clusterkm,Croissance annuelle PIB US$ (%),PIB Total US$ (Millions),Nombre de têtes réserves volailles,Moyenne prix conso alim ($/mois),Imports viandes / hbts (kg/personne/an),Imports viande volaille / hbts (kg/personne/an),Import volailles / imports viandes (%),Conso volailles 2017 (kg/hbt/an),Evo conso volailles 2015-2017 (%),Elevage volailles / hbts (kg/personne/an)
Afghanistan,2,2017,36296113.0,5.47,730000.0,19742.85,19.505,1,0,6.327787,21515.502135,13573000.0,150.71279883333335,0.9918417434946822,0.7989836267040495,80.55555555555556,1.53,-19.895,0.7581528082635185
Angola,7,2017,29816766.0,6.93,828550.0,19750.15,30.456,1,0,20.766647,122123.858628,36500000.0,286.88792075,14.086034682634596,9.290075254975674,65.95238095238095,10.56,-19.939,0.901204376088272
Bangladesh,16,2017,159685424.0,2.195,947540.0,22002.2,19.841,2,3,11.491529,245633.488923,329199000.0,155.87219108333332,0.006262312332276489,5.003144182410275,53.86155269286495,1.5,3.448,1.2175688621398533
Bolivie (État plurinational de),19,2017,11192855.0,2.9730000000000003,859210.0,24987.9,45.37,2,3,10.511101,37508.683068,223496000.0,159.09460158333334,0.17868542029714493,0.08934271014857247,50.0,36.0,2.244,45.03703478692434
Botswana,20,2017,2205080.0,3.978,854100.0,23790.7,40.58,2,3,11.242991,17405.50354,710000.0,134.86589366666666,4.081484571988318,1.3604948573294393,33.33333333333333,3.39,11.513,2.086092114571807
Belize,23,2017,375769.0,4.11,984770.0,24520.7,37.883,2,3,3.4642150000000003,1836.593466,1684000.0,103.65267383333334,13.306047066149683,5.003144182410275,53.86155269286495,25.69,-0.465,52.282120132315335
Îles Salomon,25,2017,636039.0,5.457999999999998,880015.0,19585.9,29.556,2,0,6.223974,1198.9386439999998,245000.0,112.34351316666668,11.005614435592786,9.433383801936674,85.71428571428571,4.45,-7.484,0.462235806294897
Cameroun,32,2017,24566073.0,5.441,968345.0,25349.25,16.213,1,0,7.2468259999999995,35009.259798,51100000.0,110.96386933333334,0.04070654678914289,5.003144182410275,53.86155269286495,3.16,-2.469,3.1128703395125465
Cabo Verde,35,2017,537498.0,2.431,917975.0,25309.1,37.064,2,3,6.420607,1769.786532,1000000.0,109.42414483333333,31.62802466241735,22.325664467588716,70.58823529411765,17.62,1.323,1.8381463744981377
République centrafricaine,37,2017,4596023.0,2.289,641670.0,16950.6,43.712,2,3,10.279297999999999,1997.3542699999998,7438000.0,149.30127394021127,1.087897079714353,0.8703176637714825,80.0,2.29,27.933,1.4458152189403752
Sri Lanka,38,2017,21128032.000000004,1.052,953745.0,23498.7,29.093000000000004,2,3,6.818652,88019.695921,21287000.0,127.04166666666669,0.09466096984328685,5.003144182410275,53.86155269286495,7.78,14.58,9.087453104955538
Tchad,39,2017,15016753.0,6.419,762850.0,25736.15,30.875,1,0,0.015031999999999998,10394.020226999999,6176000.0,92.35,0.0665922919555246,0.0665922919555246,100.0,0.45,-6.25,0.42505859955211356
Congo,46,2017,5110695.0,5.2429999999999986,842785.0,20403.5,47.71,2,0,9.660458,10978.971298999999,2935000.0,117.73763774999999,27.7848707465423,20.349482800284502,73.23943661971832,21.53,-11.654,1.360871662269026
Bénin,53,2017,11175198.0,5.666,1005940.0,23520.6,22.331,1,0,8.045987,9269.331673,20643000.0,119.36575950000001,11.27496801398955,11.006516394608846,97.61904761904762,14.4,-20.923,1.262527965947449
Équateur,58,2017,16785361.0,3.537,943890.0,24009.7,45.515,2,3,4.360883,104295.862,161299000.0,129.01369300000002,0.05957572196391844,5.003144182410275,53.86155269286495,19.31,-3.546,20.136594023804435
El Salvador,60,2017,6388126.0,0.996,970900.0,27305.65,34.688,2,3,3.203851,24927.973702,17235000.0,114.43719816666668,9.079345022311708,2.504646902706678,27.586206896551722,20.43,2.974,21.326755295684524
Djibouti,72,2017,944099.0,3.294,978200.0,24341.85,19.238,2,3,5.662605999999999,2766.8680719999998,7016340.673423778,114.48598224999999,3.177632854181606,3.177632854181606,100.0,2.68,24.651,1.7898866354123202
Gabon,74,2017,2064823.0,6.0139999999999985,964695.0,29083.2,48.67,2,0,6.457901000000001,14929.474265,3178000.0,115.0397525,49.3989073155423,36.80702898020799,74.50980392156863,29.33,-9.754,1.8887817503001467
