Code zone,Zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%)
1,Arménie,2017,2944790.9999999995,0.658,1123470.0,35540.05,45.774
2,Afghanistan,2017,36296113.0,5.47,730000.0,19742.850000000002,19.505
3,Albanie,2017,2884169.0000000005,-0.219,1241000.0,43635.75,55.491
4,Algérie,2017,41389189.0,4.181,1222385.0,33912.15,27.672
7,Angola,2017,29816766.0,6.93,828550.0,19750.15,30.456
8,Antigua-et-Barbuda,2017,95426.0,1.988,886950.0,29729.25,66.372
9,Argentine,2017,43937140.0,2.001,1182235.0,37489.149999999994,63.957
10,Australie,2017,24584620.0,2.725,1208515.0,39456.5,65.957
11,Autriche,2017,8819901.0,1.627,1347580.0,39467.45,60.002
12,Bahamas,2017,381755.0,2.017,745695.0,22436.55,68.342
14,Barbade,2017,286232.0,0.318,1057040.0,32576.25,56.437
16,Bangladesh,2017,159685424.0,2.195,947540.0,22002.2,19.841
19,Bolivie (État plurinational de),2017,11192855.0,2.973,859210.0,24987.899999999998,45.37
20,Botswana,2017,2205080.0,3.978,854100.0,23790.7,40.58
21,Brésil,2017,207833823.0,1.644,1185520.0,33163.9,58.111
23,Belize,2017,375769.0,4.11,984770.0,24520.7,37.883
25,Îles Salomon,2017,636039.0,5.458,880015.0,19585.899999999998,29.556
27,Bulgarie,2017,7102444.0,-1.351,1032220.0,30419.100000000002,49.976
28,Myanmar,2017,53382523.0,1.332,985865.0,34072.75,47.852
32,Cameroun,2017,24566072.999999996,5.441,968345.0,25349.25,16.213
33,Canada,2017,36732095.0,1.958,1274580.0,36938.0,50.366
35,Cabo Verde,2017,537498.0,2.431,917975.0,25309.100000000002,37.064
37,République centrafricaine,2017,4596023.0,2.289,641670.0,16950.6,43.712
38,Sri Lanka,2017,21128032.000000004,1.052,953745.0,23498.699999999997,29.093
39,Tchad,2017,15016753.0,6.419,762850.0,25736.15,30.875
40,Chili,2017,18470439.0,2.789,1099015.0,32342.65,51.371
41,"Chine, continentale",2017,1421021791.0,1.007,1166905.0,37018.3,39.519
44,Colombie,2017,48909839.00000001,2.923,1129310.0,26411.4,51.382
46,Congo,2017,5110695.0,5.243,842785.0,20403.5,47.71
48,Costa Rica,2017,4949954.000000001,2.107,1100475.0,29623.399999999998,56.161
49,Cuba,2017,11339253.999999998,0.128,1244650.0,32280.6,36.839
50,Chypre,2017,1179678.0,1.61,954840.0,29302.2,56.863
52,Azerbaïdjan,2017,9845320.0,2.313,1132595.0,33707.75,32.604
